,date,state,positive,death,total,temp,stp,wdsp,prcp,fog,coronavirus,covid,dry cough,fever,shortness of breath,face mask,Chinawords,Italywords,USwords,Outbreakwords,twitter_number
941,2020-03-24,MN,262.0,1.0,5812,37.4,978.0,7.2,0.0,1,58,92,85,38,100,12,679,105,1241,254,1041141
925,2020-03-24,DC,137.0,2.0,1334,48.0,999.9,3.5,0.0,0,60,72,19,66,79,6,679,105,1241,254,1041141
924,2020-03-24,CT,618.0,12.0,5300,40.2,13.7,8.1,1.26,1,57,80,43,88,56,15,679,105,1241,254,1041141
923,2020-03-24,CO,720.0,7.0,6224,26.2,665.8,10.8,99.99,1,57,85,19,76,46,7,679,105,1241,254,1041141
922,2020-03-24,CA,2102.0,40.0,27654,55.3,12.3,4.5,0.04,1,61,82,59,89,70,14,679,105,1241,254,1041141
921,2020-03-24,AZ,357.0,5.0,692,64.1,967.8,4.7,0.0,0,73,84,41,70,58,13,679,105,1241,254,1041141
920,2020-03-24,AR,218.0,0.0,1165,61.0,0.7,4.8,0.19,1,64,91,59,69,46,17,679,105,1241,254,1041141
919,2020-03-24,AL,215.0,0.0,2321,70.8,999.9,6.7,0.0,0,63,84,15,75,17,15,679,105,1241,254,1041141
918,2020-03-24,AK,36.0,0.0,1022,38.1,956.7,4.8,0.0,0,61,72,51,99,49,14,679,105,1241,254,1041141
928,2020-03-24,GA,1026.0,32.0,5484,70.9,4.0,5.5,0.64,1,67,85,56,93,77,13,679,105,1241,254,1041141
942,2020-03-24,MO,183.0,3.0,552,44.0,995.1,6.3,0.0,1,70,80,56,87,67,18,679,105,1241,254,1041141
933,2020-03-24,IN,365.0,12.0,2931,42.1,988.9,5.5,0.0,1,62,82,82,72,31,23,679,105,1241,254,1041141
944,2020-03-24,MT,46.0,0.0,1689,36.4,999.9,999.9,0.0,0,50,72,67,49,0,10,679,105,1241,254,1041141
943,2020-03-24,MS,320.0,1.0,1872,71.0,2.5,7.1,0.01,1,64,81,37,95,52,12,679,105,1241,254,1041141
967,2020-03-24,WV,20.0,0.0,630,50.7,983.2,3.3,0.16,1,71,86,51,62,34,26,679,105,1241,254,1041141
966,2020-03-24,WI,457.0,5.0,8694,40.2,981.8,3.7,0.01,1,64,85,52,60,52,13,679,105,1241,254,1041141
965,2020-03-24,WA,2877.0,146.0,56218,30.4,872.7,1.3,0.25,1,67,95,42,76,64,10,679,105,1241,254,1041141
964,2020-03-24,VT,95.0,7.0,1535,30.1,979.8,3.8,0.6,1,62,89,0,46,0,7,679,105,1241,254,1041141
963,2020-03-24,VA,290.0,7.0,4470,44.5,3.2,2.0,0.02,1,60,81,63,76,65,10,679,105,1241,254,1041141
962,2020-03-24,UT,299.0,1.0,5823,49.1,860.8,8.9,0.0,1,50,86,45,63,37,11,679,105,1241,254,1041141
961,2020-03-24,TX,410.0,9.0,11167,73.9,982.1,8.3,0.0,0,66,94,85,81,83,11,679,105,1241,254,1041141
960,2020-03-24,TN,667.0,2.0,11184,56.4,999.9,1.9,0.0,0,68,85,90,72,89,20,679,105,1241,254,1041141
959,2020-03-24,SD,30.0,1.0,1088,49.2,948.2,9.4,0.0,0,69,77,40,45,0,11,679,105,1241,254,1041141
958,2020-03-24,SC,298.0,5.0,2310,58.6,10.6,1.5,0.18,1,61,83,60,85,42,11,679,105,1241,254,1041141
957,2020-03-24,RI,124.0,0.0,1401,42.1,13.5,10.8,1.77,1,54,81,39,56,28,6,679,105,1241,254,1041141
968,2020-03-24,WY,29.0,0.0,739,42.9,831.2,16.0,0.0,1,55,71,0,33,0,7,679,105,1241,254,1041141
955,2020-03-24,OR,209.0,8.0,4559,32.0,999.9,7.0,99.99,1,69,81,30,67,43,11,679,105,1241,254,1041141
956,2020-03-24,PA,851.0,7.0,9494,43.0,3.7,3.9,0.43,0,67,85,78,66,93,9,679,105,1241,254,1041141
946,2020-03-24,ND,34.0,0.0,1488,38.3,951.1,11.5,0.0,1,73,77,71,54,73,7,679,105,1241,254,1041141
947,2020-03-24,NE,52.0,0.0,1027,48.6,946.3,7.6,0.0,1,54,87,38,64,24,12,679,105,1241,254,1041141
948,2020-03-24,NH,101.0,1.0,2417,35.9,998.3,6.0,0.21,1,54,81,39,40,75,8,679,105,1241,254,1041141
949,2020-03-24,NJ,3675.0,44.0,12045,44.9,13.6,7.5,0.71,0,56,80,67,90,100,12,679,105,1241,254,1041141
945,2020-03-24,NC,398.0,0.0,8539,52.0,995.5,2.5,0.13,1,67,90,53,79,81,13,679,105,1241,254,1041141
951,2020-03-24,NV,278.0,4.0,4232,42.2,831.9,9.1,0.12,1,60,77,0,70,38,18,679,105,1241,254,1041141
952,2020-03-24,NY,25665.0,210.0,91270,34.8,967.8,7.1,0.71,1,62,85,65,78,82,19,679,105,1241,254,1041141
953,2020-03-24,OH,564.0,8.0,704,40.6,977.4,4.6,0.0,0,59,87,25,67,87,15,679,105,1241,254,1041141
954,2020-03-24,OK,106.0,3.0,841,60.0,975.7,6.8,0.1,1,68,97,28,51,66,19,679,105,1241,254,1041141
950,2020-03-24,NM,83.0,0.0,5973,51.4,810.7,11.3,0.0,0,62,81,32,83,61,20,679,105,1241,254,1041141
889,2020-03-25,MI,7060.0,43.0,14597,40.3,987.8,4.2,0.0,1,61,85,68,78,100,17,957,140,1261,228,1087725
880,2020-03-25,ID,73.0,0.0,1960,32.3,837.0,5.6,0.0,0,63,99,100,68,27,6,957,140,1261,228,1087725
888,2020-03-25,ME,149.0,0.0,3326,33.6,9.8,2.1,0.17,0,53,89,49,35,0,10,957,140,1261,228,1087725
887,2020-03-25,MD,423.0,4.0,517,44.3,999.9,4.4,0.0,0,60,87,65,63,75,13,957,140,1261,228,1087725
886,2020-03-25,MA,1739.0,33.0,19818,37.9,4.6,7.0,0.0,1,54,87,88,68,64,14,957,140,1261,228,1087725
885,2020-03-25,LA,1795.0,65.0,11451,74.2,8.3,3.6,0.0,1,55,82,25,75,82,17,957,140,1261,228,1087725
884,2020-03-25,KY,157.0,4.0,3022,48.3,976.3,4.5,99.99,1,61,89,65,71,52,15,957,140,1261,228,1087725
883,2020-03-25,KS,126.0,3.0,2486,57.3,971.0,8.6,0.0,0,57,91,25,81,65,12,957,140,1261,228,1087725
882,2020-03-25,IN,477.0,14.0,3356,43.7,984.3,4.1,0.0,1,59,82,37,81,39,19,957,140,1261,228,1087725
881,2020-03-25,IL,1865.0,19.0,14209,40.6,983.0,7.0,0.0,1,55,87,81,86,72,11,957,140,1261,228,1087725
879,2020-03-25,IA,145.0,1.0,2723,43.4,975.1,8.7,0.0,1,60,86,25,71,24,10,957,140,1261,228,1087725
873,2020-03-25,CT,875.0,19.0,5898,38.5,16.7,4.9,0.0,1,53,74,39,77,68,9,957,140,1261,228,1087725
877,2020-03-25,GA,1247.0,40.0,6179,74.3,997.6,9.2,0.64,1,64,84,58,96,68,13,957,140,1261,228,1087725
876,2020-03-25,FL,1682.0,22.0,18289,75.8,10.9,7.7,0.0,1,68,87,48,96,82,12,957,140,1261,228,1087725
875,2020-03-25,DE,115.0,0.0,151,46.0,999.9,14.6,0.0,0,54,60,33,51,0,4,957,140,1261,228,1087725
874,2020-03-25,DC,183.0,2.0,1609,48.0,999.9,4.2,0.0,0,59,90,20,29,40,3,957,140,1261,228,1087725
872,2020-03-25,CO,912.0,11.0,7701,30.0,664.3,12.8,0.0,0,54,85,38,73,58,4,957,140,1261,228,1087725
871,2020-03-25,CA,2355.0,53.0,66876,51.8,9.8,4.8,0.04,1,60,83,54,84,71,14,957,140,1261,228,1087725
870,2020-03-25,AZ,450.0,6.0,826,65.0,964.8,3.1,0.0,0,71,83,23,58,57,13,957,140,1261,228,1087725
869,2020-03-25,AR,280.0,2.0,1717,56.3,2.8,5.6,0.0,0,63,89,60,74,63,13,957,140,1261,228,1087725
868,2020-03-25,AL,283.0,0.0,2812,73.0,999.9,8.1,0.0,0,62,76,60,68,53,8,957,140,1261,228,1087725
867,2020-03-25,AK,42.0,1.0,1691,36.7,941.6,5.2,99.99,1,52,78,0,47,0,8,957,140,1261,228,1087725
890,2020-03-25,MN,287.0,1.0,11475,38.5,972.2,7.5,0.06,1,55,93,73,43,32,8,957,140,1261,228,1087725
878,2020-03-25,HI,90.0,0.0,4447,70.5,6.1,15.1,0.07,1,59,89,32,52,0,14,957,140,1261,228,1087725
891,2020-03-25,MO,356.0,8.0,725,49.3,992.9,6.4,0.38,0,64,79,65,95,70,12,957,140,1261,228,1087725
908,2020-03-25,SD,41.0,1.0,1128,43.2,948.3,7.1,99.99,1,66,79,0,37,50,4,957,140,1261,228,1087725
893,2020-03-25,MT,53.0,0.0,2001,29.3,999.9,999.9,0.0,0,53,71,89,71,45,5,957,140,1261,228,1087725
892,2020-03-25,MS,377.0,2.0,1943,71.6,0.5,4.2,0.0,1,53,83,25,62,41,10,957,140,1261,228,1087725
916,2020-03-25,WV,39.0,0.0,804,50.0,976.3,4.4,0.42,1,76,100,25,45,0,21,957,140,1261,228,1087725
915,2020-03-25,WI,585.0,7.0,10674,42.6,974.3,5.4,0.0,1,58,86,23,69,100,14,957,140,1261,228,1087725
914,2020-03-25,WA,3339.0,159.0,61268,29.8,873.5,3.0,0.28,1,59,86,17,46,67,12,957,140,1261,228,1087725
913,2020-03-25,VT,123.0,8.0,1712,28.1,981.2,3.1,0.01,1,54,100,0,29,0,7,957,140,1261,228,1087725
912,2020-03-25,VA,391.0,9.0,5370,45.1,997.7,6.2,0.5,1,60,84,89,89,72,11,957,140,1261,228,1087725
911,2020-03-25,UT,346.0,1.0,6837,43.9,857.1,11.5,0.03,1,49,86,68,65,0,13,957,140,1261,228,1087725
910,2020-03-25,TX,974.0,12.0,13494,69.1,982.0,6.0,0.0,0,59,88,59,93,74,11,957,140,1261,228,1087725
909,2020-03-25,TN,784.0,3.0,11796,56.0,999.9,4.7,0.0,0,61,88,67,80,100,17,957,140,1261,228,1087725
907,2020-03-25,SC,424.0,7.0,2727,65.2,2.5,5.5,0.95,1,58,76,72,65,100,10,957,140,1261,228,1087725
906,2020-03-25,RI,132.0,0.0,1590,41.0,18.9,7.6,0.04,1,52,77,0,44,58,13,957,140,1261,228,1087725
917,2020-03-25,WY,44.0,0.0,998,38.2,829.1,13.3,0.33,1,61,81,0,31,0,6,957,140,1261,228,1087725
904,2020-03-25,OR,209.0,8.0,4559,29.3,999.9,7.9,99.99,1,63,76,82,59,62,9,957,140,1261,228,1087725
905,2020-03-25,PA,1127.0,11.0,12320,41.0,1.3,4.5,0.0,1,62,92,59,80,88,8,957,140,1261,228,1087725
895,2020-03-25,ND,39.0,0.0,1773,32.1,953.6,10.3,0.0,0,63,79,65,81,68,10,957,140,1261,228,1087725
896,2020-03-25,NE,61.0,0.0,1365,53.9,941.2,10.4,0.0,1,49,87,51,65,49,9,957,140,1261,228,1087725
897,2020-03-25,NH,108.0,1.0,3268,33.1,2.1,4.1,0.05,0,50,79,40,56,38,9,957,140,1261,228,1087725
898,2020-03-25,NJ,4402.0,62.0,14854,42.7,12.3,8.7,0.0,1,51,82,64,100,65,12,957,140,1261,228,1087725
894,2020-03-25,NC,504.0,1.0,10489,53.1,987.8,5.0,1.02,1,64,88,23,95,97,10,957,140,1261,228,1087725
900,2020-03-25,NV,321.0,6.0,4572,38.5,827.9,8.0,0.0,1,56,78,50,51,49,17,957,140,1261,228,1087725
901,2020-03-25,NY,30811.0,285.0,103479,33.0,968.1,6.2,0.0,1,59,84,47,94,74,18,957,140,1261,228,1087725
902,2020-03-25,OH,704.0,10.0,14764,46.6,970.9,5.3,99.99,1,56,90,55,75,100,10,957,140,1261,228,1087725
903,2020-03-25,OK,164.0,5.0,969,62.9,976.1,7.0,0.0,1,67,97,29,55,0,8,957,140,1261,228,1087725
899,2020-03-25,NM,100.0,1.0,6842,52.6,809.4,8.6,0.0,0,63,88,97,87,46,11,957,140,1261,228,1087725
838,2020-03-26,MI,7767.0,60.0,18072,49.1,982.7,5.3,0.0,0,60,91,54,79,82,15,937,158,1361,230,1078090
829,2020-03-26,ID,123.0,0.0,2188,28.9,838.9,3.9,0.0,0,57,85,0,56,29,13,937,158,1361,230,1078090
837,2020-03-26,ME,155.0,0.0,3549,38.0,3.4,3.4,0.0,0,53,85,50,40,0,6,937,158,1361,230,1078090
836,2020-03-26,MD,580.0,4.0,674,44.8,999.9,2.8,0.0,0,60,84,11,46,50,9,937,158,1361,230,1078090
835,2020-03-26,MA,2318.0,42.0,23645,40.1,999.2,7.9,0.02,1,55,89,47,58,56,5,937,158,1361,230,1078090
834,2020-03-26,LA,2305.0,83.0,18029,73.2,8.3,4.5,0.0,0,57,87,33,83,72,14,937,158,1361,230,1078090
833,2020-03-26,KY,198.0,4.0,3300,53.9,976.8,4.0,0.0,0,58,84,55,76,31,9,937,158,1361,230,1078090
832,2020-03-26,KS,168.0,3.0,3037,55.7,967.3,6.5,0.0,0,60,97,25,65,0,9,937,158,1361,230,1078090
831,2020-03-26,IN,645.0,17.0,4651,53.2,980.5,3.7,0.0,1,57,86,55,77,55,16,937,158,1361,230,1078090
830,2020-03-26,IL,2538.0,26.0,16631,48.1,978.0,10.5,0.0,1,56,92,50,71,62,8,937,158,1361,230,1078090
828,2020-03-26,IA,179.0,1.0,2757,46.7,973.6,8.7,0.0,1,57,96,0,53,36,7,937,158,1361,230,1078090
822,2020-03-26,CT,1012.0,21.0,6637,43.1,11.8,5.9,0.04,0,53,73,17,90,57,18,937,158,1361,230,1078090
826,2020-03-26,GA,1525.0,48.0,8926,65.8,2.0,3.1,0.62,0,63,89,97,93,80,11,937,158,1361,230,1078090
825,2020-03-26,FL,2355.0,28.0,27539,77.2,10.2,5.2,0.0,0,67,87,56,87,85,13,937,158,1361,230,1078090
824,2020-03-26,DE,130.0,1.0,166,45.1,999.9,9.1,0.0,0,55,71,0,32,0,7,937,158,1361,230,1078090
823,2020-03-26,DC,231.0,3.0,1858,49.3,999.9,5.3,0.0,0,60,83,58,39,60,3,937,158,1361,230,1078090
821,2020-03-26,CO,1086.0,19.0,8064,31.0,661.8,9.7,0.0,0,54,100,28,64,19,5,937,158,1361,230,1078090
820,2020-03-26,CA,3006.0,65.0,77786,47.7,8.6,3.8,0.13,1,61,88,59,82,96,13,937,158,1361,230,1078090
819,2020-03-26,AZ,577.0,8.0,957,64.1,961.2,4.9,0.0,0,70,88,52,71,76,14,937,158,1361,230,1078090
818,2020-03-26,AR,335.0,3.0,1839,63.5,998.5,5.4,0.0,0,62,92,46,58,32,5,937,158,1361,230,1078090
817,2020-03-26,AL,506.0,1.0,4099,66.6,999.9,2.8,0.0,0,68,96,30,69,35,19,937,158,1361,230,1078090
816,2020-03-26,AK,59.0,1.0,1860,32.7,941.6,7.4,0.0,0,57,68,51,58,47,14,937,158,1361,230,1078090
839,2020-03-26,MN,346.0,2.0,12950,35.7,974.8,2.3,0.1,0,49,87,53,49,34,8,937,158,1361,230,1078090
827,2020-03-26,HI,95.0,0.0,4452,71.5,4.3,16.5,0.29,0,59,81,34,54,0,14,937,158,1361,230,1078090
840,2020-03-26,MO,502.0,8.0,871,62.6,985.4,6.9,0.0,0,63,81,59,75,30,12,937,158,1361,230,1078090
857,2020-03-26,SD,46.0,1.0,2144,33.9,951.0,3.1,99.99,1,70,93,0,51,51,9,937,158,1361,230,1078090
842,2020-03-26,MT,71.0,0.0,2199,28.3,999.9,999.9,0.01,0,52,86,0,42,0,16,937,158,1361,230,1078090
865,2020-03-26,WV,51.0,0.0,1101,51.7,978.1,2.7,0.36,1,67,91,26,58,0,24,937,158,1361,230,1078090
864,2020-03-26,WI,707.0,8.0,12290,40.9,973.8,4.3,0.63,1,56,86,68,76,27,11,937,158,1361,230,1078090
863,2020-03-26,WA,3822.0,183.0,65809,29.4,876.1,6.0,0.13,1,61,96,50,79,60,9,937,158,1361,230,1078090
862,2020-03-26,VT,158.0,9.0,2008,37.1,974.8,4.8,0.0,0,56,92,100,30,73,5,937,158,1361,230,1078090
861,2020-03-26,VA,460.0,13.0,6189,46.6,1.3,4.8,0.12,1,60,86,51,55,100,9,937,158,1361,230,1078090
860,2020-03-26,UT,402.0,1.0,7710,37.2,855.4,12.2,0.29,1,47,82,45,68,55,10,937,158,1361,230,1078090
859,2020-03-26,TX,1396.0,18.0,21424,73.5,979.7,9.6,0.0,0,60,95,68,80,89,11,937,158,1361,230,1078090
858,2020-03-26,TN,957.0,3.0,14909,56.0,999.9,4.7,0.0,0,63,87,35,76,17,14,937,158,1361,230,1078090
866,2020-03-26,WY,53.0,0.0,1105,36.6,827.9,9.3,0.07,1,54,100,43,30,59,6,937,158,1361,230,1078090
856,2020-03-26,SC,456.0,9.0,2763,59.3,9.8,3.5,0.27,0,56,90,45,58,67,12,937,158,1361,230,1078090
855,2020-03-26,RI,165.0,0.0,1608,42.5,13.2,10.4,0.01,0,54,69,20,82,29,7,937,158,1361,230,1078090
841,2020-03-26,MS,485.0,6.0,2776,70.2,1.3,4.7,0.0,0,54,81,51,56,55,10,937,158,1361,230,1078090
853,2020-03-26,OR,327.0,11.0,7280,26.2,999.9,4.2,99.99,1,65,84,52,74,36,10,937,158,1361,230,1078090
852,2020-03-26,OK,248.0,7.0,1206,75.7,970.1,8.8,0.0,0,70,100,58,53,68,9,937,158,1361,230,1078090
851,2020-03-26,OH,867.0,15.0,17316,52.8,970.4,4.2,99.99,1,58,93,55,75,89,9,937,158,1361,230,1078090
850,2020-03-26,NY,37258.0,385.0,122104,38.6,964.6,3.3,0.0,1,58,90,46,78,96,17,937,158,1361,230,1078090
849,2020-03-26,NV,420.0,10.0,5117,33.3,826.6,10.4,0.02,1,55,89,52,54,25,15,937,158,1361,230,1078090
848,2020-03-26,NM,112.0,1.0,7793,59.0,806.1,11.2,99.99,1,56,94,32,58,30,21,937,158,1361,230,1078090
847,2020-03-26,NJ,6876.0,81.0,20537,46.0,11.4,5.8,0.0,0,54,85,73,99,84,13,937,158,1361,230,1078090
846,2020-03-26,NH,137.0,1.0,3850,38.0,995.9,2.7,0.0,0,57,84,0,27,0,12,937,158,1361,230,1078090
845,2020-03-26,NE,73.0,0.0,1657,42.6,943.0,13.2,0.0,1,50,81,0,39,0,6,937,158,1361,230,1078090
844,2020-03-26,ND,52.0,0.0,2091,30.4,954.3,5.9,0.0,0,76,100,68,54,0,0,937,158,1361,230,1078090
843,2020-03-26,NC,636.0,2.0,12910,52.1,994.5,3.1,0.0,0,60,92,32,81,70,13,937,158,1361,230,1078090
854,2020-03-26,PA,1687.0,16.0,18128,43.9,999.9,2.7,0.17,0,62,95,69,74,84,9,937,158,1361,230,1078090
780,2020-03-27,IN,981.0,24.0,6936,54.4,979.7,6.6,0.05,1,60,90,69,65,44,15,768,142,1236,192,1127283
781,2020-03-27,KS,202.0,4.0,3431,53.3,966.6,4.9,0.04,1,61,92,46,60,0,10,768,142,1236,192,1127283
782,2020-03-27,KY,248.0,6.0,4016,69.6,973.2,7.4,0.0,0,59,85,83,72,40,9,768,142,1236,192,1127283
783,2020-03-27,LA,2746.0,119.0,21359,77.7,6.6,6.8,0.0,0,51,84,40,68,100,11,768,142,1236,192,1127283
788,2020-03-27,MN,398.0,4.0,14003,38.1,974.4,1.2,0.0,0,51,90,85,49,17,9,768,142,1236,192,1127283
785,2020-03-27,MD,774.0,5.0,868,53.1,999.9,1.6,0.0,0,61,89,42,60,47,11,768,142,1236,192,1127283
786,2020-03-27,ME,168.0,1.0,3562,41.7,993.9,7.5,0.0,0,49,87,23,28,0,5,768,142,1236,192,1127283
787,2020-03-27,MI,8659.0,92.0,21298,42.2,987.0,6.9,0.0,0,62,99,52,59,89,18,768,142,1236,192,1127283
779,2020-03-27,IL,3026.0,34.0,21542,46.7,978.2,12.3,0.01,1,58,98,63,70,47,12,768,142,1236,192,1127283
784,2020-03-27,MA,3151.0,57.0,29395,50.6,992.6,8.5,0.0,1,54,91,34,76,47,9,768,142,1236,192,1127283
778,2020-03-27,ID,189.0,3.0,2857,29.5,839.4,2.8,0.0,0,54,100,0,78,28,2,768,142,1236,192,1127283
772,2020-03-27,DC,267.0,3.0,2166,58.7,999.9,3.1,0.0,0,65,83,20,68,80,9,768,142,1236,192,1127283
776,2020-03-27,HI,106.0,0.0,4463,71.0,1.7,10.3,0.0,1,62,86,0,41,38,12,768,142,1236,192,1127283
775,2020-03-27,GA,2001.0,64.0,9865,69.6,1.7,5.2,0.0,1,61,87,56,63,71,11,768,142,1236,192,1127283
774,2020-03-27,FL,2765.0,34.0,32468,78.4,11.6,4.0,0.0,1,67,92,49,76,57,11,768,142,1236,192,1127283
773,2020-03-27,DE,163.0,2.0,199,53.1,999.9,8.0,0.0,0,58,71,31,54,28,17,768,142,1236,192,1127283
771,2020-03-27,CT,1291.0,27.0,8400,51.9,5.8,6.6,0.0,0,52,85,16,77,66,10,768,142,1236,192,1127283
770,2020-03-27,CO,1430.0,24.0,10122,29.2,659.1,9.2,0.0,0,52,88,55,55,62,6,768,142,1236,192,1127283
769,2020-03-27,CA,3879.0,78.0,78659,48.8,10.4,2.9,0.0,0,63,94,54,81,87,13,768,142,1236,192,1127283
768,2020-03-27,AZ,736.0,13.0,8221,57.3,962.6,8.6,0.0,1,71,94,45,69,46,13,768,142,1236,192,1127283
767,2020-03-27,AR,381.0,3.0,1926,74.7,996.2,7.8,0.0,0,57,93,29,77,45,12,768,142,1236,192,1127283
766,2020-03-27,AL,587.0,3.0,4771,72.1,999.9,4.6,0.0,0,68,96,28,55,0,15,768,142,1236,192,1127283
789,2020-03-27,MO,669.0,8.0,1038,65.4,984.5,6.7,0.0,1,61,84,48,84,56,11,768,142,1236,192,1127283
777,2020-03-27,IA,235.0,3.0,3975,46.2,973.6,11.3,0.0,0,65,100,24,54,23,4,768,142,1236,192,1127283
765,2020-03-27,AK,69.0,1.0,2401,23.0,938.4,3.3,0.0,0,59,76,100,19,0,0,768,142,1236,192,1127283
790,2020-03-27,MS,579.0,8.0,3139,76.3,999.8,9.4,0.0,0,53,91,49,76,39,14,768,142,1236,192,1127283
792,2020-03-27,NC,763.0,3.0,15136,63.2,989.9,6.4,0.0,0,62,100,26,68,100,12,768,142,1236,192,1127283
791,2020-03-27,MT,108.0,0.0,2698,31.3,999.9,999.9,0.0,0,64,98,0,33,43,10,768,142,1236,192,1127283
815,2020-03-27,WY,70.0,0.0,1281,35.1,827.9,7.0,0.04,0,67,84,42,15,0,12,768,142,1236,192,1127283
814,2020-03-27,WV,76.0,0.0,1898,65.0,974.4,4.5,0.09,1,66,90,0,34,0,15,768,142,1236,192,1127283
813,2020-03-27,WI,842.0,13.0,13982,40.9,976.0,4.6,0.0,1,57,85,14,50,38,11,768,142,1236,192,1127283
812,2020-03-27,WA,4305.0,199.0,70192,31.0,875.6,6.2,0.29,1,62,92,27,56,57,9,768,142,1236,192,1127283
811,2020-03-27,VT,184.0,10.0,2261,41.4,969.9,7.5,0.0,1,55,76,61,34,70,13,768,142,1236,192,1127283
810,2020-03-27,VA,604.0,14.0,7337,57.9,994.7,5.1,0.0,1,59,88,43,75,75,9,768,142,1236,192,1127283
808,2020-03-27,TX,1731.0,23.0,23666,75.0,977.0,11.7,0.0,0,60,100,59,83,81,11,768,142,1236,192,1127283
807,2020-03-27,TN,1203.0,6.0,16091,72.9,999.9,6.8,0.0,0,59,81,84,76,25,11,768,142,1236,192,1127283
806,2020-03-27,SD,58.0,1.0,2465,38.4,949.3,5.0,0.0,1,67,86,0,21,0,4,768,142,1236,192,1127283
805,2020-03-27,SC,456.0,9.0,2763,69.5,6.8,4.2,0.0,0,55,100,35,61,32,13,768,142,1236,192,1127283
809,2020-03-27,UT,480.0,2.0,9244,35.4,856.9,6.9,0.0,0,50,83,33,54,36,7,768,142,1236,192,1127283
803,2020-03-27,PA,2218.0,22.0,23234,51.3,995.1,3.4,0.01,1,61,96,43,52,46,7,768,142,1236,192,1127283
804,2020-03-27,RI,203.0,0.0,2647,52.3,6.4,8.6,0.0,1,55,79,0,60,27,8,768,142,1236,192,1127283
794,2020-03-27,NE,85.0,0.0,1846,45.6,941.2,9.2,0.0,0,55,95,24,44,23,8,768,142,1236,192,1127283
795,2020-03-27,NH,158.0,1.0,4145,45.2,988.2,7.4,0.0,0,51,97,25,38,73,9,768,142,1236,192,1127283
796,2020-03-27,NJ,8825.0,108.0,25372,54.8,5.8,6.7,0.0,1,53,88,70,83,80,12,768,142,1236,192,1127283
797,2020-03-27,NM,136.0,1.0,8513,52.3,803.3,17.6,99.99,1,60,86,44,57,57,7,768,142,1236,192,1127283
793,2020-03-27,ND,65.0,0.0,2492,38.1,951.5,10.7,0.0,0,69,82,67,37,0,7,768,142,1236,192,1127283
799,2020-03-27,NY,44635.0,519.0,145753,49.2,960.4,7.0,0.0,0,49,81,44,68,80,18,768,142,1236,192,1127283
800,2020-03-27,OH,1137.0,19.0,20149,51.5,969.0,5.8,99.99,1,56,100,46,60,56,9,768,142,1236,192,1127283
801,2020-03-27,OK,322.0,8.0,1406,74.8,968.8,10.4,0.0,0,64,96,69,41,52,12,768,142,1236,192,1127283
802,2020-03-27,OR,414.0,12.0,8924,33.4,999.9,8.2,99.99,1,63,86,39,58,34,9,768,142,1236,192,1127283
798,2020-03-27,NV,535.0,10.0,6696,32.1,829.0,10.1,0.0,0,58,94,73,50,24,10,768,142,1236,192,1127283
726,2020-03-28,IA,298.0,3.0,4673,49.2,966.0,11.8,0.12,1,57,81,53,46,25,9,1049,120,1396,242,1101188
736,2020-03-28,MI,9287.0,92.0,23470,42.5,984.0,8.4,99.99,1,57,94,36,63,87,16,1049,120,1396,242,1101188
735,2020-03-28,ME,211.0,1.0,3605,39.6,6.2,2.8,0.0,0,45,86,41,44,42,9,1049,120,1396,242,1101188
734,2020-03-28,MD,992.0,5.0,12508,52.8,999.9,2.7,0.0,0,57,81,12,65,45,13,1049,120,1396,242,1101188
733,2020-03-28,MA,4158.0,72.0,35073,44.3,4.1,4.2,0.11,1,52,89,53,70,63,10,1049,120,1396,242,1101188
732,2020-03-28,LA,3315.0,137.0,25161,76.8,6.4,6.5,0.0,0,50,88,55,53,91,22,1049,120,1396,242,1101188
731,2020-03-28,KY,302.0,8.0,5123,70.9,974.4,7.1,0.0,0,56,87,24,51,58,9,1049,120,1396,242,1101188
730,2020-03-28,KS,261.0,5.0,3932,55.2,962.6,12.5,0.0,1,55,100,39,72,100,8,1049,120,1396,242,1101188
728,2020-03-28,IL,3491.0,47.0,25491,57.6,973.5,9.2,0.15,1,53,90,44,58,58,14,1049,120,1396,242,1101188
727,2020-03-28,ID,230.0,4.0,3572,37.8,842.7,3.4,0.0,0,54,100,0,62,64,7,1049,120,1396,242,1101188
725,2020-03-28,HI,120.0,0.0,4477,71.3,0.4,6.7,0.05,0,55,85,35,45,85,9,1049,120,1396,242,1101188
737,2020-03-28,MN,441.0,5.0,16129,43.1,970.9,7.0,0.0,1,45,85,37,69,55,6,1049,120,1396,242,1101188
723,2020-03-28,FL,3763.0,54.0,39129,77.2,12.9,6.1,0.0,0,67,91,74,73,82,14,1049,120,1396,242,1101188
722,2020-03-28,DE,214.0,3.0,250,52.2,999.9,7.8,0.0,0,48,74,34,39,31,15,1049,120,1396,242,1101188
721,2020-03-28,DC,304.0,4.0,2516,57.0,999.9,2.5,0.0,0,51,61,26,51,52,4,1049,120,1396,242,1101188
720,2020-03-28,CT,1291.0,27.0,8400,45.0,15.8,2.8,0.0,1,54,82,37,62,25,7,1049,120,1396,242,1101188
719,2020-03-28,CO,1734.0,31.0,11676,16.5,659.4,8.6,99.99,1,47,75,21,69,58,5,1049,120,1396,242,1101188
718,2020-03-28,CA,4643.0,101.0,89592,51.7,13.6,3.8,0.0,0,61,95,56,75,100,15,1049,120,1396,242,1101188
